id	experimental_condition	age	gender	created_at	updated_at	education	employment	status	token
1	control	21	M	2015-04-07 17:03:01	2015-04-07 17:03:01	Bachelor	Unemployed	0	VANGGYlIhyLePe1B
2	social	20	M	2015-04-07 17:18:41	2015-04-07 17:18:41	Primary education	Employed	3	nKVEDniSoirsVtq5
3	social	20	M	2015-04-07 17:19:31	2015-04-07 17:19:31	Primary education	Employed	3	FKtdJU96pQ4Kmt0F
4	control	100	M	2015-04-07 17:21:02	2015-04-07 17:21:02			4	vngxraajCu1gvmXG
5	control	20	M	2015-04-07 17:22:39	2015-04-07 17:22:39	Primary education	Employed	0	UxBH9KfjJc5sbQpk
6	control	20	M	2015-04-07 17:24:42	2015-04-07 17:24:42	Primary education	Employed	0	QFPGobOBy8TiA0GG
7	social	20	M	2015-04-07 17:37:22	2015-04-07 17:37:22	Primary education	Employed	3	nV64L9FDs8SVBFom
8	social	20	M	2015-04-07 17:39:38	2015-04-07 17:39:38	Bachelor	Unemployed	2	ABf4CwAZtgZw7Wis
9	social	12	M	2015-04-07 17:51:28	2015-04-07 17:51:28	Secondary education	Unemployed	2	8tCABvwcbVzjCABW
10	social	20	M	2015-04-07 17:57:53	2015-04-07 17:57:53	Bachelor	Unemployed	3	SXPaCRAC4je1rV4u
11	control	20	M	2015-04-07 18:02:23	2015-04-07 18:02:23	Primary education	Employed	3	qdyrar23y2G1RFXY
12	control	10	M	2015-04-07 18:14:16	2015-04-07 18:14:16	Primary education	Employed	3	vKjD9ZDrZ2AkhrYy
13	social	20	M	2015-04-07 18:39:56	2015-04-07 18:39:56	Secondary education	Unemployed	3	8CYsjhFwPRFncHV0
14	social	100	M	2015-04-07 18:40:22	2015-04-07 18:40:22	Secondary education	Employed	1	s5VS5sH181spi5vj
15	social	20	F	2015-04-07 18:41:05	2015-04-07 18:41:05	Bachelor	Unemployed	1	pg9gWIXo0DrTQFa8
16	control	19	M	2015-04-07 19:04:39	2015-04-07 19:04:39	Bachelor	Unemployed	0	SBUURtIer0Rs1pPx
17	control	21	M	2015-04-07 19:31:58	2015-04-07 19:31:58	Bachelor	Decline to say	0	hWHXUOZIet8RPI3o
18	control	52	M	2015-04-07 19:54:28	2015-04-07 19:54:28	Master	Employed	0	uJGOfV1cn5Pt7s81
19	control	23	M	2015-04-07 20:28:48	2015-04-07 20:28:48	Bachelor	Unemployed	0	tnapXhqs3wQ5RVFD
20	social	20	M	2015-04-07 20:51:33	2015-04-07 20:51:33	Bachelor	Unemployed	3	DVHb4oFpmNVo7JV8
21	control	20	M	2015-04-07 20:54:34	2015-04-07 20:54:34	Bachelor	Unemployed	0	9wW2z3auDl8N8TL8
22	social	22	M	2015-04-07 21:02:19	2015-04-07 21:02:19	Bachelor	Unemployed	4	wJYTxThEDdNVQuZ8
23	control	21	M	2015-04-07 21:23:45	2015-04-07 21:23:45	Secondary education	Unemployed	1	EKrjOkBwvPVEY9MP
24	social	21	M	2015-04-07 21:57:02	2015-04-07 21:57:02	Secondary education	Unemployed	2	9HY4k5XDfH9VGJYo
25	social	24	M	2015-04-07 22:11:19	2015-04-07 22:11:19	Doctoral	Employed	2	lz749iplYndFDkoY
26	control	21	M	2015-04-08 00:03:58	2015-04-08 00:03:58	Bachelor	Unemployed	0	pDf3AUCcJhihkjbB
27	control	19	M	2015-04-08 00:13:56	2015-04-08 00:13:56	Bachelor	Unemployed	0	zC8e2YsLfMxnmjpP
28	social	21	F	2015-04-08 00:40:34	2015-04-08 00:40:34	Bachelor	Unemployed	1	zfg5aoUnblJnpDVD
29	control	42	F	2015-04-08 01:52:52	2015-04-08 01:52:52	Master	Employed	2	xUN2GJeYYY4Ubuda
30	control	20	M	2015-04-08 03:05:21	2015-04-08 03:05:21	Bachelor	Unemployed	4	pgNpS5osZ5gHnRnn
31	control	22	M	2015-04-08 03:13:50	2015-04-08 03:13:50	Bachelor	Unemployed	2	O7QHMxX74Q6yOqME
32	control	21	M	2015-04-08 03:56:35	2015-04-08 03:56:35	Bachelor	Unemployed	3	qYovDjeTTdUwnZ0z
33	control	20	M	2015-04-08 04:25:54	2015-04-08 04:25:54	Bachelor	Decline to say	2	p5Xo3NBsI3fN1qY8
34	control	20	M	2015-04-08 06:08:45	2015-04-08 06:08:45	Bachelor	Unemployed	2	K0CMHHSz1pbJy3SU
35	control	21	M	2015-04-08 06:25:56	2015-04-08 06:25:56	Bachelor	Self Employed	0	h81sQhSplQyNtY45
36	social	25	M	2015-04-08 06:49:28	2015-04-08 06:49:28	Bachelor	Decline to say	1	848EUrL50ZFfCYxy
37	social	24	M	2015-04-08 07:56:05	2015-04-08 07:56:05	Bachelor	Self Employed	2	tGQibvB1dZx9afHa
38	control	20	F	2015-04-08 12:44:50	2015-04-08 12:44:50	Secondary education	Employed	0	jcFOOwiZUR1Gc7Ir
39	social	25	M	2015-04-08 16:01:27	2015-04-08 16:01:27	Master	Self Employed	2	q2FhR0Kpp5XZO82K
40	control	24	M	2015-04-08 17:03:14	2015-04-08 17:03:14	Bachelor	Employed	0	yFkT1YBM2BrBISK7
41	social	24	F	2015-04-09 06:13:48	2015-04-09 06:13:48	Master	Unemployed	1	LCVnq2aGExrK2pxC
42	control	10	M	2015-04-09 15:56:25	2015-04-09 15:56:25	Bachelor	Unemployed	0	6YYChZrRsNrCqWlc
43	social	21	M	2015-04-09 16:22:56	2015-04-09 16:22:56	Secondary education	Unemployed	1	Gsg73rMgedlHjBVt
44	control	37	M	2015-04-10 14:30:41	2015-04-10 14:30:41	Doctoral	Employed	2	fBqyzPLYaaa0rMML
45	social	21	M	2015-04-13 11:33:17	2015-04-13 11:33:17	Bachelor	Decline to say	4	QmCTQdl9zxCXxm7f
46	control	34	F	2015-04-14 01:02:15	2015-04-14 01:02:15	Primary education	Unemployed	4	V7Z4AWxRdBan1GJw
47	social	12	F	2015-04-14 01:02:24	2015-04-14 01:02:24	Master	Employed	2	o8gKq1UCGgunZWbT
48	control	20	M	2015-04-14 02:45:43	2015-04-14 02:45:43	Secondary education	Unemployed	1	DmxJuWJEjWpsSMzv
49	control	24	F	2015-04-14 02:54:42	2015-04-14 02:54:42	Master	Unemployed	0	TmavhD2gobVgbneU
50	social	20	M	2015-04-14 03:12:22	2015-04-14 03:12:22	Bachelor	Self Employed	4	8FqzBEgxtkrNYDYP
51	control	21	M	2015-04-14 05:08:07	2015-04-14 05:08:07	Bachelor	Decline to say	0	4uEGMOpf3g9FHZWO
52	social	20	M	2015-04-14 05:48:52	2015-04-14 05:48:52	Bachelor	Unemployed	2	zLwsZacNM6U9YHMt
53	social	20	M	2015-04-14 05:49:49	2015-04-14 05:49:49	Primary education	Employed	2	AqBrSebp3schZY3Z
54	social	20	M	2015-04-14 07:30:42	2015-04-14 07:30:42	Bachelor	Unemployed	2	7eGUJWE6hyyQadxn
55	control	18	F	2015-04-14 10:01:31	2015-04-14 10:01:31	Secondary education	Unemployed	4	clexVoBDXDqyWuXn
56	control	18	M	2015-04-14 10:29:13	2015-04-14 10:29:13	Master	Employed	0	a8ab4EGmSFo87VIc
57	control	21	M	2015-04-14 12:19:02	2015-04-14 12:19:02	Bachelor	Unemployed	3	b7GzfTquE97Yvebs
58	social	10	M	2015-04-14 12:26:29	2015-04-14 12:26:29	Bachelor	Unemployed	1	F2bnj3pNmbhLpVRI
59	social	24	M	2015-04-14 13:28:39	2015-04-14 13:28:39	Master	Unemployed	2	EzOcXuTaag9JPN1N
60	social	24	M	2015-04-14 18:45:59	2015-04-14 18:45:59	Master	Unemployed	3	srGfTQDYWixIVqdC
61	control	20	M	2015-04-15 07:09:33	2015-04-15 07:09:33	Bachelor	Decline to say	4	FZaTkkZmfKdAf4oL
62	social	20	M	2015-04-16 15:38:21	2015-04-16 15:38:21	Primary education	Employed	3	bgBGAxSka2gpyOmF
63	control	29	F	2015-04-16 15:52:24	2015-04-16 15:52:24	Master	Self Employed	1	rsStx0Qzr2rsy8Du
64	control	20	M	2015-04-16 18:39:55	2015-04-16 18:39:55	Secondary education	Unemployed	4	LdklkM1ZQPoEVkvM
65	control	20	M	2015-04-17 05:17:40	2015-04-17 05:17:40	Bachelor	Unemployed	2	ZaV3CGxw6WJkoVSv
66	control	21	M	2015-04-17 05:31:08	2015-04-17 05:31:08	Bachelor	Unemployed	4	WdRUkEgJhl44nLB1
67	control	20	M	2015-04-17 06:02:44	2015-04-17 06:02:44	Bachelor	Unemployed	0	0mtXoFis6IbRhpHb
68	control	20	M	2015-04-17 06:35:16	2015-04-17 06:35:16	B.Sc	unemployed	0	QAk2dH0Zs5jW5eC2
69	control	20	M	2015-04-17 06:35:43	2015-04-17 06:35:43	B.Sc	unemployed	1	rxYYRzrp0Ph6tStt
70	social	21	M	2015-04-17 07:15:26	2015-04-17 07:15:26	Secondary education	Unemployed	1	1OTcgsXZaCYXpFkW
71	social	21	M	2015-04-17 07:37:06	2015-04-17 07:37:06	Bachelor	Unemployed	3	TQbHRF6K6M8gR4WP
72	control	12	M	2015-04-17 07:40:01	2015-04-17 07:40:01	Bachelor	Self Employed	0	I3b0eUPx8R3oyTzc
73	social	25	M	2015-04-17 07:51:01	2015-04-17 07:51:01	Bachelor	Unemployed	3	sTvqiaLfDRTZAKYf
74	control	22	F	2015-04-17 11:14:19	2015-04-17 11:14:19	Master	Decline to say	4	XvgBrXBtdZxjiriA
75	control	25	M	2015-04-17 12:13:31	2015-04-17 12:13:31	Bachelor	Unemployed	1	wGeq7ygyseYP3hSY
76	social	20	M	2015-04-17 12:31:33	2015-04-17 12:31:33	Bachelor	Unemployed	3	CNuV6WeGEsllbJth
77	control	21	M	2015-04-17 13:26:45	2015-04-17 13:26:45	Bachelor	Unemployed	2	1Mrx0nAuOdubWRsT
78	social	21	M	2015-04-17 19:09:18	2015-04-17 19:09:18	Bachelor	Unemployed	3	5BIM7Nyus7fjln93
79	social	30	M	2015-04-17 19:13:08	2015-04-17 19:13:08	Bachelor	Unemployed	4	O0zipydvsEI5O63b
80	control	29	M	2015-04-17 20:36:28	2015-04-17 20:36:28	Doctoral	Employed	3	2ZwA2J60609gUtdW
81	control	20	F	2015-04-18 06:52:48	2015-04-18 06:52:48	Secondary education	Unemployed	4	ZpjDiivQVWf9CMjC
82	social	34	F	2015-04-18 15:44:07	2015-04-18 15:44:07	Secondary education	Employed	4	z0UaWnCNNkNPO8u7
83	social	90	M	2015-04-19 21:02:41	2015-04-19 21:02:41	Primary education	Unemployed	3	oyRpu3Uqfak5rbhj
84	control	44	M	2015-04-21 22:28:54	2015-04-21 22:28:54	Bachelor	Self Employed	0	HzDcB82ggb50iXWQ
85	control	12	M	2015-04-21 22:45:58	2015-04-21 22:45:58	Secondary education	Employed	4	nN0CV90KAZ1o7aMU
86	control	12	M	2015-04-21 22:54:20	2015-04-21 22:54:20	Secondary education	Self Employed	3	WI4RCpQpl2PNJzqA
87	social	12	M	2015-04-21 23:19:33	2015-04-21 23:19:33	Bachelor	Employed	1	TetMtOmG3SXFfyeD
88	social	21	M	2015-04-22 00:20:23	2015-04-22 00:20:23	Secondary education	Unemployed	4	TICQ6nEEWo5wP8MO
89	control	20	M	2015-04-22 12:18:24	2015-04-22 12:18:24	Bachelor	Unemployed	4	4w8BkdjB96XGPpi0
90	social	25	M	2015-04-24 00:55:31	2015-04-24 00:55:31	Doctoral	Decline to say	4	Z36ppBGmJ0MstCEc
91	control	25	M	2015-04-24 01:27:27	2015-04-24 01:27:27	Bachelor	Decline to say	1	5BcevtaNiaX0F710
92	control	20	M	2015-04-24 03:09:17	2015-04-24 03:09:17	Bachelor	Unemployed	2	KRWjSxIrJ0LMfMjt
93	control	21	M	2015-04-24 03:25:13	2015-04-24 03:25:13	Secondary education	Unemployed	0	TKtTAhnTGjtSDYbQ
94	control	20	M	2015-04-24 03:48:35	2015-04-24 03:48:35	Secondary education	Decline to say	4	R2K0wBrukE0U0Pfe
95	control	18	M	2015-04-24 04:27:25	2015-04-24 04:27:25	Secondary education	Self Employed	4	MMl0UIS6lfR496uN
96	control	19	M	2015-04-24 05:39:54	2015-04-24 05:39:54	Secondary education	Unemployed	0	0UhhZ2Uwq4PYyk5V
97	social	20	F	2015-04-24 09:14:09	2015-04-24 09:14:09	Secondary education	Unemployed	1	PkRtMWaRfE7PXFS7
98	social	21	M	2015-04-24 09:25:02	2015-04-24 09:25:02	Secondary education	Unemployed	4	FYwkQDuUFxuutPu0
99	social	24	F	2015-04-24 09:37:26	2015-04-24 09:37:26	Master	Unemployed	2	qrm2Zau0Usa8Gh7j
100	control	22	F	2015-04-24 10:16:40	2015-04-24 10:16:40	Bachelor	Unemployed	0	mSEzHUd1f4p73D3J
101	control	20	M	2015-04-24 11:11:08	2015-04-24 11:11:08	Bachelor	Unemployed	1	cl5wDLdN7tFnWySt
102	control	21	F	2015-04-24 11:34:47	2015-04-24 11:34:47	Bachelor	Unemployed	0	AeLxkbVSubfKhCsg
103	control	21	M	2015-04-24 11:54:20	2015-04-24 11:54:20	Secondary education	Unemployed	4	FMUI49oS4aWf4aLC
104	control	20	F	2015-04-24 12:38:02	2015-04-24 12:38:02	Secondary education	Unemployed	3	AwMWKd97CYxmBiGE
105	social	20	F	2015-04-24 12:46:55	2015-04-24 12:46:55	Secondary education	Unemployed	1	cGG0cIohw2mw92v8
106	social	21	F	2015-04-24 13:17:55	2015-04-24 13:17:55	Bachelor	Employed	2	xY7MdOiymkul3508
107	social	20	M	2015-04-24 13:18:14	2015-04-24 13:18:14	Bachelor	Unemployed	4	R6lXdUi7wvzM4JCJ
108	social	20	F	2015-04-24 13:29:41	2015-04-24 13:29:41	Secondary education	Unemployed	3	H0rGWZjX2ppz9AYT
109	social	22	M	2015-04-24 13:50:53	2015-04-24 13:50:53	Bachelor	Unemployed	4	RNuYEGe4Zvuc6A2D
110	control	20	M	2015-04-24 13:58:36	2015-04-24 13:58:36	Bachelor	Unemployed	0	tciSilVh50Iw19h0
111	control	23	M	2015-04-24 14:09:56	2015-04-24 14:09:56	Bachelor	Employed	0	iFGIZSHPwQM85vdK
112	control	20	M	2015-04-24 14:31:12	2015-04-24 14:31:12	Bachelor	Unemployed	0	ApPskcXhvxmirYI8
113	control	19	M	2015-04-24 15:20:11	2015-04-24 15:20:11	Bachelor	Unemployed	0	oGiIur29aIkpK36y
114	social	21	F	2015-04-24 15:20:31	2015-04-24 15:20:31	Bachelor	Unemployed	3	tnSqtwWxpNNxADGn
115	social	21	M	2015-04-24 17:41:40	2015-04-24 17:41:40	Bachelor	Unemployed	1	zjFg4AAZU7mIAm81
116	control	21	M	2015-04-24 17:54:50	2015-04-24 17:54:50	Secondary education	Unemployed	0	Vfr9dIgafWxKu0Fl
117	control	100	M	2015-04-24 18:48:24	2015-04-24 18:48:24			1	dQN3Qolqf4VwfAbr
118	control	15	M	2015-04-24 20:31:40	2015-04-24 20:31:40	Bachelor	Self Employed	0	XmqVSmOoopw1rb0F
119	social	90	M	2015-04-24 20:49:09	2015-04-24 20:49:09	Bachelor	Employed	1	WkYU6tzB4YuwLtou
120	social	21	F	2015-04-25 03:31:30	2015-04-25 03:31:30	Bachelor	Employed	3	V0XB4xsBvGv5ZtcX
121	social	21	F	2015-04-25 04:31:23	2015-04-25 04:31:23	Bachelor	Unemployed	1	j9FbwxAsjBMa9fE8
122	control	24	M	2015-04-25 05:41:42	2015-04-25 05:41:42	Bachelor	Self Employed	0	Et5r999IDEav7t5B
123	control	21	M	2015-04-25 06:03:15	2015-04-25 06:03:15	Bachelor	Decline to say	0	yBeMjxMpjcqL6Jti
124	control	21	M	2015-04-25 06:38:08	2015-04-25 06:38:08	Bachelor	Decline to say	0	nLs0zPi8BZ0M69Zz
125	control	21	M	2015-04-25 06:38:56	2015-04-25 06:38:56	Bachelor	Decline to say	3	UcurVVyS90n8Qbk7
126	social	12	M	2015-04-25 07:27:45	2015-04-25 07:27:45	Secondary education	Unemployed	4	4X4t1W1hseZHp4Bi
127	social	22	M	2015-04-25 09:36:59	2015-04-25 09:36:59	Bachelor	Unemployed	1	BCf1VlPbcuItHgAQ
128	control	20	M	2015-04-25 15:49:55	2015-04-25 15:49:55	Bachelor	Unemployed	3	l5hKXGKntiEiA8Wu
129	social	10	M	2015-04-25 16:57:38	2015-04-25 16:57:38	Secondary education	Self Employed	4	94G8xr2eMPmXP2Hl
130	control	20	M	2015-04-25 17:09:35	2015-04-25 17:09:35	Primary education	Employed	2	R1v8qVQvut7jz6by
131	social	20	M	2015-04-25 17:11:22	2015-04-25 17:11:22	Primary education	Employed	4	18a4DGjOdqCExtT0
132	social	20	M	2015-04-25 17:11:47	2015-04-25 17:11:47	Primary education	Employed	4	v8schhvYV9zmjI47
133	control	10	M	2015-04-25 17:13:10	2015-04-25 17:13:10	Primary education	Employed	0	Fptb3cRd0Cb8UcoY
134	control	20	M	2015-04-25 17:14:45	2015-04-25 17:14:45	Primary education	Employed	4	l0Iuz5Oi9VC69IzH
135	social	20	M	2015-04-25 17:15:26	2015-04-25 17:15:26	Primary education	Employed	3	KdHDl540oDFiLvsq
136	control	20	M	2015-04-25 17:42:55	2015-04-25 17:42:55	Primary education	Employed	0	zhCJZbqAYmXlzsjP
137	control	10	M	2015-04-25 17:46:24	2015-04-25 17:46:24	Primary education	Employed	1	iCdtb8lXSEZcaMrI
138	control	10	M	2015-04-25 17:46:45	2015-04-25 17:46:45	Primary education	Employed	2	AAtj2FUNh0zRuS99
139	control	10	M	2015-04-25 17:47:07	2015-04-25 17:47:07	Primary education	Employed	0	KgQeDaFtdLpxg71A
140	control	20	M	2015-04-25 17:47:33	2015-04-25 17:47:33	Primary education	Employed	2	WpnjGUUcsuelYmRE
141	control	10	M	2015-04-25 17:47:51	2015-04-25 17:47:51	Primary education	Employed	1	Ahr2MGoK2fpUoB1X
142	social	20	M	2015-04-25 17:56:08	2015-04-25 17:56:08	Bachelor	Employed	1	vtBgEDfcVUYP1iWj
143	control	21	M	2015-04-25 17:56:31	2015-04-25 17:56:31	Secondary education	Unemployed	2	P3BeYZQZWNygc0fx
144	control	10	M	2015-04-25 18:16:14	2015-04-25 18:16:14	Bachelor	Unemployed	2	dmc6zYYSlF38OmKH
145	control	21	M	2015-04-25 18:18:26	2015-04-25 18:18:26	Secondary education	Unemployed	1	bPsXhbpohVNzTi2Z
146	control	20	M	2015-04-25 19:01:50	2015-04-25 19:01:50	Primary education	Employed	0	kjXTtY8XPCSjJkgK
147	control	21	M	2015-04-25 19:07:26	2015-04-25 19:07:26	Secondary education	Unemployed	0	56RUIJer3ucPQLsL
148	control	12	M	2015-04-25 19:58:51	2015-04-25 20:00:15	Bachelor	Self Employed	1	2hMyVm94oXCwL5RU
149	social	21	M	2015-04-25 19:59:52	2015-04-25 20:10:29	Secondary education	Unemployed	4	y7qD7LZ98qEbnkdF
150	control	10	M	2015-04-25 20:09:37	2015-04-25 20:09:37	Bachelor	Self Employed	0	o1xR1KvZZbBB4bGn
151	social	12	M	2015-04-25 20:11:53	2015-04-25 20:12:13	Bachelor	Self Employed	4	BuVFSTipEnhzlPGM
152	social	27	M	2015-04-25 20:19:48	2015-04-25 20:22:30	Bachelor	Self Employed	1	GuRkS8UeYA0qoyTm
153	social	21	F	2015-04-26 01:23:59	2015-04-26 01:23:59	Bachelor	Employed	4	cQPdiFusJ8Dim9Ls
154	social	21	M	2015-04-26 02:38:20	2015-04-26 02:38:20	Bachelor	Self Employed	4	gEhzeTYvebEbt9Ww
155	social	26	M	2015-04-26 03:39:55	2015-04-26 03:39:55	Bachelor	Unemployed	4	7BphxWItnAgZ1cRu
156	control	22	M	2015-04-26 03:45:13	2015-04-26 03:45:13	Bachelor	Unemployed	0	JdcYbFrHaJTLVCSo
157	control	21	M	2015-04-26 04:33:24	2015-04-26 04:33:24	Bachelor	Unemployed	4	4SrRGfinYGal8BhP
158	social	21	F	2015-04-26 04:40:54	2015-04-26 04:40:54	Bachelor	Employed	2	Gfi8pjQpdIU2P9K5
159	social	20	M	2015-04-26 04:43:07	2015-04-26 04:43:07	Bachelor	Decline to say	3	PVQRkjgHbhh6sODf
160	control	21	F	2015-04-26 04:58:36	2015-04-26 04:58:36	Bachelor	Unemployed	0	AycCotE5hlUpSY4l
161	control	21	F	2015-04-26 05:02:43	2015-04-26 05:02:43	Bachelor	Unemployed	1	CRCaREtR5DkAdwHt
162	control	20	M	2015-04-26 05:40:57	2015-04-26 05:40:57	Bachelor	Unemployed	0	0PnmA2gDJgsNyGqX
163	control	22	M	2015-04-26 05:42:14	2015-04-26 05:42:14	Bachelor	Employed	3	hzllsTnCqFMx1WC1
164	control	19	F	2015-04-26 05:53:11	2015-04-26 05:53:11	Secondary education	Unemployed	0	ItA6BHSifNgWhmO9
165	control	19	M	2015-04-26 06:35:03	2015-04-26 06:35:03	Bachelor	Unemployed	0	pag3rrMTNXU9QO1o
166	control	19	M	2015-04-26 06:40:01	2015-04-26 06:40:01	Bachelor	Unemployed	0	zCvhwMP8wXQRNrvT
167	control	19	M	2015-04-26 06:44:28	2015-04-26 06:44:28	Bachelor	Unemployed	0	UYaHRXEM6uA8TaFS
168	control	22	M	2015-04-26 06:48:48	2015-04-26 06:48:48	Secondary education	Unemployed	0	NqcBoN6TOiMSg64k
169	control	21	M	2015-04-26 08:13:27	2015-04-26 08:13:27	Bachelor	Unemployed	0	zY1PdE7IL7S3CJSl
170	control	21	M	2015-04-26 08:47:14	2015-04-26 08:47:14	Bachelor	Unemployed	0	yz1vBDKrw73AX2Ll
171	social	21	M	2015-04-26 11:19:11	2015-04-26 11:19:11	Bachelor	Unemployed	4	3Cf60E8teDuK6r7Q
172	control	19	M	2015-04-26 14:01:28	2015-04-26 14:01:28	Secondary education	Unemployed	0	DsjyuQuTKpvLfJLK
173	social	24	M	2015-04-26 15:49:57	2015-04-26 15:49:57	Bachelor	Self Employed	1	3QoySAbEANC7iMBQ
174	social	24	F	2015-04-26 16:23:34	2015-04-26 16:23:34	Master	Unemployed	4	i8jADOQS7FHoZHz7
175	control	22	F	2015-04-26 16:45:37	2015-04-26 16:45:37	Bachelor	Unemployed	0	JcWamDDN5xZQ16sg
176	control	22	F	2015-04-26 17:26:35	2015-04-26 17:26:35	Bachelor	Decline to say	1	qb2XRCFHGEnrTZWL
177	social	22	F	2015-04-26 17:34:32	2015-04-26 17:34:32	Bachelor	Unemployed	2	VJjA7Lt7HfDYtMcl
178	social	20	F	2015-04-26 18:06:25	2015-04-26 18:06:25	Secondary education	Unemployed	4	MG8LRISdnv1ZCE3p
179	control	24	M	2015-04-27 03:24:20	2015-04-27 03:24:20	Bachelor	Self Employed	0	ZSHft8l2EEykB2yq
180	social	22	F	2015-04-27 03:56:53	2015-04-27 03:56:53	Bachelor	Unemployed	1	RII8jswBAaUtPLL0
181	control	20	M	2015-04-27 04:42:33	2015-04-27 04:42:33	Bachelor	Unemployed	1	NPVc1MvGImucEw7O
182	control	22	M	2015-04-27 05:02:39	2015-04-27 05:02:39	Bachelor	Self Employed	0	I2U6k6AfinhJdhYf
183	social	20	M	2015-04-27 06:05:34	2015-04-27 06:05:34	Bachelor	Unemployed	4	CwIj0l2Y2oDScvwb
184	control	20	M	2015-04-27 06:14:10	2015-04-27 06:14:10	Primary education	Employed	3	Ws7vxqp7pSPfsL2h
